trip_path_detail
"[[u'Louvre Museum', u'Eiffel Tower', u'Luxembourg Gardens'], [u'Jardin Du Luxembourg', u'Musee Jacquemart-andre', u'Towers Of Notre Dame Cathedral', u'Pantheon', u'Musee Nissim De Camondo'], [u'Musee D Orsay', u'Carnavalet Museum'], [u'Espace Dali', u'Musee De L Orangerie', u'Petit Palais'], [u'Van Gogh Museum', u'Anne Frank House', u'Hoppe', u'Wijdesteeg'], [u'Begijnhof', u'Jordaan', u'Jordaan Museum', u'Moeders'], [u'Dam Square', u'Cannabis College', u'Reypenaer Cheese Tasting Room', u'Dampkring Coffee Shop'], [u'Fish Market', u'Palazzo Contarini Del Bovolo', u'Museo Correr', u'Venice Biennale Or Biennale Di Venezia'], [u'Rialto Market', u'Doges Palace', u'Ca D Oro', u'Grand Canal', u'Church Of San Giorgio Maggiore'], [u'St Marks Square', u'Naval History Museum And Arsenale', u'The Phoenix Theatre', u'Interpreti Veneziani']]"
"[[u'Trafalgar Square', u'Westminster Abbey', u'National Gallery'], [u'Palace Of Westminster', u'Big Ben London', u'London Transport Museum', u'Churchill War Rooms'], [u'Doges Palace', u'Grand Canal', u'Saint Marks Basilica', u'Peggy Guggenheim Collection', u'Church Of San Giorgio Maggiore'], [u'Rialto Bridge', u'Cannaregio', u'Interpreti Veneziani', u'The Phoenix Theatre', u'St. Marks Clocktower'], [u'The Palais Royal', u'Grand Palais', u'Towers Of Notre Dame Cathedral', u'Champ De Mars'], [u'Disneyland', u'Palais De Chaillot', u'Musee Du Quai Branly', u'National Library'], [u'Roman Forum', u'Basilica Santa Maria Degli Angeli E Dei Martiri', u'Colosseum', u'Monte Palatino'], [u'Lindenhof', u'Old Town'], [u'Notre Dame Du Sablon', u'Autoworld', u'Cathedrale St-michel Et Ste-gudule', u'Grand Place', u'Galeries Royales Saint-hubert'], [u'Stephansplatz', u'Karlskirche', u'Wiener Riesenrad', u'Vienna State Opera'], [u'Sachsenhausen', u'The Main Tower', u'St Pauls Church', u'The Goethe House'], [u'Guinness Storehouse', u'Temple Bar Company', u'National Gallery Of Ireland', u'Wynns Hotel Dublin']]"
"[[u'Big Ben London', u'The London Dungeon', u'Buckingham Palace London'], [u'Portobello Market', u'The London Eye', u'Churchill War Rooms'], [u'National Maritime Museum', u'London Aquarium', u'Barbecoa', u'The View From The Shard'], [u'Tower Of London', u'Harrods'], [u'Rijksmuseum', u'Vondelpark', u'Stedelijk Museum', u'Golden Tulip Amsterdam West'], [u'Van Gogh Museum', u'Leidseplein', u'Amsterdam Centraal Railway Station'], [u'Basilica Of The Holy Blood', u'Begijnhof Or Beguinage', u'The Markt', u'Historium Brugge'], [u'Autoworld', u'Notre Dame Du Sablon', u'Cathedrale St-michel Et Ste-gudule', u'Grand Place', u'Galeries Royales Saint-hubert'], [u'The Palais Royal', u'Grand Palais', u'Towers Of Notre Dame Cathedral', u'Champ De Mars'], [u'Disneyland']]"
"[[u'Sacre Coeur Montmartrel', u'Versailles Palace', u'Champs Elysees'], [u'Champs Elysees', u'Pantheon', u'Versailles Palace']]"
"[[u'Grand Palais', u'Sacre Coeur Montmartrel', u'Pont Neuf'], [u'Pont Alexandre Iii', u'Parc Monceau', u'Towers Of Notre Dame Cathedral', u'Arc De Triomphe']]"
"[[u'Musee D Orsay', u'Disneyland', u'Angelina'], [u'Musee De L Orangerie', u'Centre Pompidou', u'Cafe Cinema Merci'], [u'Towers Of Notre Dame Cathedral', u'Musee Du Quai Branly', u'La Madeleine Church', u'L\\ange 20 Restaurant'], [u'Les Halles Market', u'Jardin Botanique De LArquebuse', u'Canal De Bourgogne', u'Church Of Notre-Dame Of Dijon', u'Musee Des Beaux - Arts De Dijon'], [u'Maison Milliere', u'Rue Des Forges, Dijon', u'Palace Of The Dukes Of Burgundy', u'Champmol', u'Stade Gaston Gerard'], [u'Colombiere Park', u'Kir Lake', u'St. Williams Gate', u'Le Cassissium'], [u'Saint Nicholas Cathedral Or Cathedral De Monaco', u'Le Chateau Or The Castle Of Nice', u'Rue D Antibes', u'Princes Palace Of Monaco'], [u'St. Marguerite'], [u'Musee Matisse', u'Musee Fragonard', u'St Nichols Russian Orthodox Cathedral', u'Musee Picasso'], [u'Lake Geneva', u'Reformation Wall', u'Modern And Contemporary Art Museum Or Mamco', u'Geneva Flower Clock Or Horloge Fleurie', u'Russian Church'], [u'Place Des Nations', u'Lausanne Cathedral', u'St Peters Cathedral', u'Museum Of Art And History', u'Temple De La Fusterie'], [u'Chateau De Chillon', u'Patek Philippe Museum', u'The Jet D Eau', u'Natural History Museum', u'Collection Baur'], [u'Lindenhof', u'Old Town'], [u'Uetliberg', u'Wooden Bridge From Rapperswil To Hurden', u'Schloss Rapperswil', u'Lake Promenade'], [u'Schanzengraben', u'Bahnhofstrasse', u'Golf Now - Indoors', u'Liebfrauenkapelle']]"
"[[u'Eiffel Tower', u'Towers Of Notre Dame Cathedral'], [u'Louvre Museum'], [u'Oceanographic Museum', u'Le Chateau Or The Castle Of Nice', u'Promenade De La Croisette', u'Monaco Grand Prix']]"
"[[u'Eiffel Tower', u'Towers Of Notre Dame Cathedral'], [u'Louvre Museum'], [u'Musee Fragonard', u'Rue Meynadier And Marche Forville', u'Le Suquet', u'Promenade De La Croisette']]"
"[[u'Eiffel Tower', u'Towers Of Notre Dame Cathedral', u'Arc De Triomphe', u'Sacre Coeur Montmartrel', u'Champs Elysees'], [u'Versailles Palace', u'Jardin Du Luxembourg']]"
[[u'Eiffel Tower']]
